Query,Outputs,Correct,Comments
Samsung Tablet,"Samsung Galaxy Tab A11 WiFi 128 GB Storage Gray (8 GB RAM), Samsung Galaxy Tab A11 WiFi 128 GB Storage Silver (8 GB RAM), Samsung Galaxy Tab A11 WiFi 64 GB Storage Gray (4 GB RAM), Samsung Galaxy Tab A11 WiFi 64 GB Storage Silver (4 GB RAM), Samsung Galaxy Tab A11 LTE 128 GB Storage Gray (8 GB RAM), Samsung Galaxy Tab A11 LTE 128 GB Storage Silver (8 GB RAM), Samsung Galaxy Tab A11 LTE 64 GB Storage Gray (4 GB RAM), Samsung Galaxy Tab A11 LTE 64 GB Storage Silver (4 GB RAM), Samsung Galaxy Tab S11 Ultra 5G 512 GB Storage Grey (12 GB RAM), Samsung Galaxy Tab S11 Ultra 5G 512 GB Storage Silver (12 GB RAM)",,
Music System,"Impex 2.0 Channel Stage Speaker System Black (ST 160), JBL Home Audio System with Bluetooth Technology Black (Xtreme 2), Bose Companion 20 Multimedia Speaker System (Silver), Clarion Multimedia Party Speaker System Black (JM-PS-1235), Sony 2.1 Channel Hi-Fi Speaker System with Bluetooth Technology Black (MHC-GZX33D), Truvison 2.0 Tower Speaker System  (TV-555 BT), LG 1.0 Channel Portable Bluetooth Speakers Black (PK3), Philips Multimedia Bluetooth Tower Speaker Black (SPA9080B), Aisen Walk and Rock Home Audio Speakers Black (A14UKB820), Panasonic Home Audio Speaker with Bluetooth Technology Black (SC-UA30GW-K)",,
Water Purifier,"Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Whirlpool Minerala 90 Elite RO 85 L Water Purifier Grey (Minerala 90 Elite RO), Eureka Forbes 8 L Water Purifier White (AG UTC RO), Hindware 7 Liters Storage Water Purifier Black (WR-17071NNN), LG 8 L Water Purifier RED (WW163EP), Kent 9 L Storage Water Purifier White (Grand Star 11070), AO Smith 5 L Water Purifier White (X3 RO), Luminous 8 Litres Storage Water Purifier (ENVY PLUS), LIVPURE 7 L RO + UV + UF + Minerals + Copper Water Purifier Black (LIVPURE PEP STAR), Lloyd 7 L Water Purifier Navy Blue (GHWRPMD015)",,
Vivo 5g,"vivo Y11 5G 128 GB Storage Midnight Blue (4 GB RAM), vivo Y11 5G 128 GB Storage Sunrise Gold (4 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM)",,
Fan Standing,"Usha Hunter Bayport 1067 mm Ceiling Fan (Bright brass), HAVELLS Hestio 2900 Watts PTC Fan Oil Filled Room Heater Black (GHROFCKK290), LG 1200 mm 3 Blade Ceiling Fan White (FC48GSPA0), Kuhl 1320 mm Aluminium Ceiling fan White (KUHL LEXUS C5 WHITE BLDC CEILING FAN- 119023W), Croma 2000 Watts Fan Room Heater White (Croma 2400W 9 Fin OFR CRSC09FOFA254201), Usha Hunter Savoy 1320 mm Ceiling Fan (Antique Brass), HAVELLS Hestio 2900 Watts PTC Fan Oil Filled Room Heater Black (GHROFCLK290), LG 1200 mm 3 Blade Ceiling Fan Silver (FC48GSSA1), Kuhl 1500 mm Aluminium Ceiling fan Brown (KUHL PLATIN D8 WHITE BLDC CEILING FAN- 119032W), Croma 2900 Watts Fan Room Heater Black (CROMA 11 FIN 2900 W OFR CRSC11FRHA334901)",,
Vivo Y400 Smartphones,"vivo Y400 5G Storage 256 GB Glam White (8 GB RAM), vivo Y400 5G Storage 256 GB Olive Green (8 GB RAM), vivo Y400 5G 128 GB Olive Green (8 GB RAM) , vivo Y400 5G 128 GB Glam White (8 GB RAM) , vivo Y400 Pro 128 GB Storage Nebula Purple (8 GB RAM), vivo Y400 Pro 256 GB Storage Nebula Purple (8 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM)",,
Guitar,"Clarion Professional Audio Mixer Efficient Audio Solution Designed For Both Live Sound And Studio Environments (JM-MX8), Clarion Professional Audio Mixer Efficient Audio Solution Designed For Both Live Sound And Studio Environments (JM-MX6)",,
Hero Electric Electric Scooter,"Hero Electric Photon HX (Beige), Hero Electric Photon HX (Matt Black), Hero Electric NYX HX Dual Battery (Black), Hero Electric NYX HX (Dual Battery) (Silver), Hero Electric Photon LP (Beige), Hero Electric Photon LP (Black), Hero Vida V1 Plus (White), Hero Vida V1 Plus (White), Hero Vida V1 Plus (Red), Hero Vida V1 Plus (Red)",,
Lg Tv 2026 Model,"LG 165 cm (65 inch) (4K) Ultra HD LED Smart TV Black (65UM7300PTA), LG 139.7 cm (55 inch) 4K Ultra HD LED Smart TV Black (55SM8100PTA), LG 139.7 cm (55 inch) (4K) Ultra HD LED Smart TV Black (55UM7300PTA), LG 139.7 cm (55 inch) Ultra HD LED Smart TV Silver (55UM7600PTA), LG 109.22 cm (43 inch) Ultra HD LED Smart TV Ceramic Black (43UM7300PTA), LG 109.22 cm (43 inch) Ultra HD LED Smart TV Silver (43UM7600PTA), LG 81.28 cm (32 inch) HD LED Smart TV Black (32LM576BPTC), LG 81.28 cm (32 inch) HD Ready LED Smart TV Black (32LM636BPTB), LG 109.22 cm (43 inch) Full HD LED Smart TV Black (43LM5760PTC), LG 109.22 cm (43 inch) Full HD LED Smart TV Black (43LM6360PTB)",,
Vivo T3 Lite 5g,"vivo T3 Lite 5G 128 GB Storage Majestic Black (6 GB RAM), vivo T3 Lite 5G 128 GB Storage Vibrant Green (4 GB RAM), vivo T3 Lite 5G 128 GB Storage Majestic Black (4 GB RAM), vivo T3 Lite 5G 128 GB Storage Vibrant Green (6 GB RAM), vivo T3 5G 256 GB Storage Cosmic Blue (8 GB RAM), vivo T3 5G 256 GB Storage Crystal Flake (8 GB RAM), vivo T3 Pro 5G 256 GB Storage Emerald Green (8 GB RAM), vivo T3 Pro 5G 256 GB Storage Sandstone Orange (8 GB RAM), vivo T3 Pro 5G 128 GB Storage Emerald Green (8 GB RAM), vivo T3 Pro 5G 128 GB Storage Sandstone Orange (8 GB RAM)",,
Leptop,"DELL Intel Core i3 9th Gen 4 GB RAM/1 TB HDD+/ Windows 10 Home/ 18.5 inch Laptop (Black,255205WIN8), Asus AMD Ryzen 7 16 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Graphite Black, FA506NCG-HN200WS), Acer AMD Ryzen7 512 GB 16 GB RAM 512 GB SSD Windows 11 Home 15.6 inch Laptop Silver (UN35MSI00D), Lenovo LOQ 7 AMD Ryzen 7 24 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Luna Grey, 83JC00JYIN), MSI Intel Core i5/ 16 GB RAM/ 512 GB SSD/ Windows 11 Home/ 15.6 inch Laptop (Classic Black, Modern 15 B13M-1200IN), HP Intel Core i3 512 GB 8 GB RAM 512 GB SSD Windows 11 Home 15.6 inch Laptop Natural Silver (15-fd0489TU # B6MC8PA), Mi Notebook 14 Intel Core i5 10th Gen 8 GB DDR4 RAM/256 GB SSD/Windows 10 Home/14 inch Laptop (Silver, Mi Notebook 14 8+256 i5 27749), Microsoft Surface Pro Intel Core i5 7th Gen 4 GB RAM/ 128 GB SSD/ Windows 10 Home/ 12.3 inch Laptop (Silver,Surface LP FSU029 7Gi5 4GBN 128SSD), LG Gram 17 Intel Core i7 10th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/17 inch Laptop (Dark Silver, 17Z90N-V.AH75A2), Realme Book Slim Intel Core i5 11th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/14 inch Laptop (Real Blue, RMNB1002)",,
Home Theatre,"Sony 5.1 Channel Home Theatre Black (HT-S20R/Z E12), LG Home Audio System With Bluetooth Technology Black (SK10Y), Bose 5.1 Channel Home Theatre Black (Acoustimass 10 V), Fenda 5.1 Channel Home Theatre System with Bluetooth Technology Black (SFDF6000X), Impex 2.0 Channel Home Theatre with Bluetooth Technology Black (ST 100A), Aisen 5.1 Channel 155 W Home Theater Black (A15UFB502), Samsung 5.1 Channel Sub Woofer Home Theatre System (HW-Q60R), Panasonic Home Audio System with Bluetooth Technology Black (SC-TMAX10GWK), T-Series Home Audio System with Bluetooth Technology Black (TYCOON 88), Philips Home Audio System with Bluetooth Technology Black (MMS2220B)",,
MOBILE Samsung,"Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), Samsung Galaxy A37 5G 256 GB Storage Grey (12 GB RAM), Samsung Galaxy A37 5G 256 GB Storage White (12 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Dark Blue (8 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Dark Blue (12 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Light Violet (8 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Light Violet (12 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Violet (8 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Violet (12 GB RAM), Samsung Galaxy A37 5G 128 GB Storage Dark Green (8 GB RAM)",,
samsung Mobile,"Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), Samsung Galaxy A37 5G 256 GB Storage Grey (12 GB RAM), Samsung Galaxy A37 5G 256 GB Storage White (12 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Dark Blue (8 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Dark Blue (12 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Light Violet (8 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Light Violet (12 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Violet (8 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Violet (12 GB RAM), Samsung Galaxy A37 5G 128 GB Storage Dark Green (8 GB RAM)",,
Vivo R15,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM), vivo X300 Ultra 5G 512 GB Storage Eclipse Black (16 GB RAM), vivo X300 Ultra 5G 512 GB Storage Victory Green (16 GB RAM)",,
Oppo A6 Smartphones,"Oppo A6 5G 128 GB Storage Sakura Pink (4 GB RAM), Oppo A6 5G 128 GB Storage Ice White (4 GB RAM), Oppo A6 5G 128 GB Storage Sapphire Blue (4 GB RAM), Oppo A6 5G 128 GB Storage Sakura Pink (6 GB RAM), Oppo A6 5G 128 GB Storage Ice White (6 GB RAM), Oppo A6 5G 128 GB Storage Sapphire Blue (6 GB RAM), Oppo A6 5G 256 GB Storage Sakura Pink (6 GB RAM), Oppo A6 5G 256 GB Storage Ice White (6 GB RAM), Oppo A6 5G 256 GB Storage Sapphire Blue (6 GB RAM), Oppo A6 Pro 5G 128 GB Storage Aurora Gold (8 GB RAM)",,
tata  Pik Gari,"Tata Tiago XE CNG (Daytona Grey), Tata Tiago XE CNG (Arizona Blue), Tata Tiago XE CNG (Flame Red), Tata Tiago XE CNG (Opal White), Tata Tiago XE CNG (Midnight Plum), Tata Tiago XM CNG (Daytona Grey), Tata Tiago XM CNG (Arizona Blue), Tata Tiago XM CNG (Flame Red), Tata Tiago XM CNG (Opal White), Tata Tiago XM CNG (Midnight Plum)",,
I Phone 16,"iPhone 16 Plus 128 GB - Black, iPhone 16 Plus 128 GB - White, iPhone 16 Plus 128 GB - Pink, iPhone 16 Plus 128 GB - Ultramarine, iPhone 16 Plus 128 GB - Teal, iPhone 16 Plus 256 GB - Black, iPhone 16 Plus 256 GB - White, iPhone 16 Plus 256 GB - Pink, iPhone 16 Plus 256 GB - Ultramarine, iPhone 16 Plus 256 GB - Teal",,
iphone 16,"iPhone 16 Plus 128 GB - Black, iPhone 16 Plus 128 GB - White, iPhone 16 Plus 128 GB - Pink, iPhone 16 Plus 128 GB - Ultramarine, iPhone 16 Plus 128 GB - Teal, iPhone 16 Plus 256 GB - Black, iPhone 16 Plus 256 GB - White, iPhone 16 Plus 256 GB - Pink, iPhone 16 Plus 256 GB - Ultramarine, iPhone 16 Plus 256 GB - Teal",,
tata pink hari,"Tata Tiago XE CNG (Daytona Grey), Tata Tiago XE CNG (Arizona Blue), Tata Tiago XE CNG (Flame Red), Tata Tiago XE CNG (Opal White), Tata Tiago XE CNG (Midnight Plum), Tata Tiago XM CNG (Daytona Grey), Tata Tiago XM CNG (Arizona Blue), Tata Tiago XM CNG (Flame Red), Tata Tiago XM CNG (Opal White), Tata Tiago XM CNG (Midnight Plum)",,
Fashino Scooty,"Yamaha Fascino 125 Fi Hybrid S (Matte Black - Spl), Yamaha Fascino 125 Fi Hybrid S (Matte Grey - Spl), Yamaha Fascino 125 Hybrid Drum (Vivid Red), Yamaha Fascino 125 Hybrid Drum (Yellow Cocktail), Yamaha Fascino 125 Hybrid Drum (Cyan Blue), Yamaha Fascino 125 Hybrid Drum (Metallic Black), Yamaha Fascino 125 Hybrid Drum (Dark Matte Blue), Yamaha Fascino 125 Hybrid Drum (Suave Copper), Yamaha Fascino 125 Hybrid Drum (Cool Blue Metallic), Yamaha Fascino 125 Hybrid Disc (Vivid Red)",,
fascino scooty,"Yamaha Fascino 125 Fi Hybrid S (Matte Black - Spl), Yamaha Fascino 125 Fi Hybrid S (Matte Grey - Spl), Yamaha Fascino 125 Hybrid Drum (Vivid Red), Yamaha Fascino 125 Hybrid Drum (Yellow Cocktail), Yamaha Fascino 125 Hybrid Drum (Cyan Blue), Yamaha Fascino 125 Hybrid Drum (Metallic Black), Yamaha Fascino 125 Hybrid Drum (Dark Matte Blue), Yamaha Fascino 125 Hybrid Drum (Suave Copper), Yamaha Fascino 125 Hybrid Drum (Cool Blue Metallic), Yamaha Fascino 125 Hybrid Disc (Vivid Red)",,
Vivo V60e Smartphone,"vivo V60e 256 GB Storage Elite Purple (12 GB RAM), vivo V60e 256 GB Storage Noble Gold (12 GB RAM), vivo V60e 256 GB Storage Elite Purple (8 GB RAM), vivo V60e 256 GB Storage Elite Purple (8 GB RAM), vivo V60e 256 GB Storage Noble Gold (8 GB RAM), vivo V60e 256 GB Storage Noble Gold (8 GB RAM), vivo V60e 128 GB Storage Elite Purple (8 GB RAM), vivo V60e 128 GB Storage Elite Purple (8 GB RAM), vivo V60e 128 GB Storage Noble Gold (8 GB RAM), vivo V60e 128 GB Storage Noble Gold (8 GB RAM)",,
Apple Iphone 17 Smartphones,"iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender, iPhone 17 512 GB - Sage",,
Ai+Nova2ultra,"Ultra 3 Burners Gas Stove Stainless steel Black (Optiflame 3G), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (BH1073SQHTDB), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (CT1035USBL)",,
ai+nova2 ultra,"Ultra 3 Burners Gas Stove Stainless steel Black (Optiflame 3G), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (BH1073SQHTDB), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (CT1035USBL)",,
Apple Iphone 17 Smartphones,"iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender, iPhone 17 512 GB - Sage",,
kam budget ka fan,"Usha Hunter Bayport 1067 mm Ceiling Fan (Bright brass), HAVELLS Hestio 2900 Watts PTC Fan Oil Filled Room Heater Black (GHROFCKK290), Croma Bladeless Plastic Material Tower Fan Black (Croma Tower Fan AF2401), LG 1200 mm 3 Blade Ceiling Fan White (FC48GSPA0), Kuhl 1320 mm Aluminium Ceiling fan White (KUHL LEXUS C5 WHITE BLDC CEILING FAN- 119023W), Usha Hunter Savoy 1320 mm Ceiling Fan (Antique Brass), HAVELLS Hestio 2900 Watts PTC Fan Oil Filled Room Heater Black (GHROFCLK290), Croma 2000 Watts Fan Room Heater White (Croma 2400W 9 Fin OFR CRSC09FOFA254201), LG 1200 mm 3 Blade Ceiling Fan Silver (FC48GSSA1), Kuhl 1500 mm Aluminium Ceiling fan Brown (KUHL PLATIN D8 WHITE BLDC CEILING FAN- 119032W)",,
Vivo,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM), vivo X300 Ultra 5G 512 GB Storage Eclipse Black (16 GB RAM), vivo X300 Ultra 5G 512 GB Storage Victory Green (16 GB RAM)",,
Oppo Smartphones,"OPPO A6c 64 GB Storage Stone Brown (4 GB RAM), OPPO A6c 64 GB Storage Stone Brown (4 GB RAM), OPPO A6c 64 GB Storage Feather White (4 GB RAM), OPPO A6c 64 GB Storage Feather White (4 GB RAM), OPPO A6c 128 GB Storage Stone Brown (4 GB RAM), OPPO A6c 128 GB Storage Feather White (4 GB RAM), OPPO Find X9 Ultra 512 GB Storage Tundra Umber Black (12 GB RAM), OPPO Find X9 Ultra 512 GB Storage Canyon Orange (12 GB RAM), OPPO Find X9s 256 GB Storage Sunset Orange (12 GB RAM), OPPO Find X9s 256 GB Storage Midnight Grey (12 GB RAM)",,
samsung Mobile 26 Ultra,"Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), Motorola Razr Fold 512 GB Storage FIFA World Cup 26 Edition (black) (16 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi 15A 64 GB Storage Black (4 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), OPPO A6c 64 GB Storage Stone Brown (4 GB RAM), realme 16T 5G 128 GB Storage Starlight Red (6 GB RAM), Xiaomi 17T 256 GB Storage Black (12 GB RAM), Mi A3 128 GB Storage Kind of Grey (6 GB RAM), Infinix Smart 20 64 GB Storage Black (4 GB RAM)",,
Samsung s24 Ultra mobile,"SAMSUNG Galaxy S24 Ultra 5G 1 TB Storage Titanium Blue (12 GB RAM), SAMSUNG Galaxy S24 Ultra 5G 1 TB Storage Titanium Grey (12 GB RAM), SAMSUNG Galaxy S24 Ultra 5G 256 GB Storage Titanium Black (12 GB RAM), SAMSUNG Galaxy S24 Ultra 5G 256 GB Storage Titanium Blue (12 GB RAM), SAMSUNG Galaxy S24 Ultra 5G 256 GB Storage Titanium Grey (12 GB RAM), SAMSUNG Galaxy S24 Ultra 5G 256 GB Storage Titanium Green (12 GB RAM), SAMSUNG Galaxy S24 Ultra 5G 256 GB Storage Titanium Voilet (12 GB RAM), Samsung Galaxy S24 Ultra 5G 256 GB Storage Titanium Yellow (12 GB RAM), SAMSUNG Galaxy S24 Ultra 5G 512 GB Storage Titanium Black (12 GB RAM), SAMSUNG Galaxy S24 Ultra 5G 512 GB Storage Titanium Blue (12 GB RAM)",,
iQOO R15,"iQOO Z10 Lite 5G 128 GB Storage Cyber Green (6 GB RAM), iQOO Z10 Lite 5G 128 GB Storage Titanium Blue (6 GB RAM), iQOO Z6 44W 128 GB Storage Lumina Blue (4 GB RAM), iQOO Z6 44W 128 GB Storage Raven Black (4 GB RAM), iQOO Z6 44W 128 GB Storage Lumina Blue (6 GB RAM), iQOO Z6 44W 128 GB Storage Lumina Blue (8 GB RAM), iQOO Z6 5G 128 GB Storage Chromatic Blue (4 GB RAM), iQOO Z6 5G 128 GB Storage Chromatic Blue (6 GB RAM), iQOO 7 5G 128 GB Storage Storm Black (8 GB RAM), iQOO 7 5G 128 GB Storage Solid Ice (8 GB RAM)",,
All Mobile,"Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi 15A 64 GB Storage Black (4 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), OPPO A6c 64 GB Storage Stone Brown (4 GB RAM), realme 16T 5G 128 GB Storage Starlight Red (6 GB RAM), Xiaomi 17T 256 GB Storage Black (12 GB RAM), Motorola G37 Power 128 GB Storage Pantone Impenetrable Black (8 GB RAM), Mi A3 128 GB Storage Kind of Grey (6 GB RAM), Infinix Smart 20 64 GB Storage Black (4 GB RAM)",,
Apple Iphone 16 Smartphones,"iPhone 16 Plus 128 GB - Black, iPhone 16 Plus 128 GB - White, iPhone 16 Plus 128 GB - Pink, iPhone 16 Plus 128 GB - Ultramarine, iPhone 16 Plus 128 GB - Teal, iPhone 16 Plus 256 GB - Black, iPhone 16 Plus 256 GB - White, iPhone 16 Plus 256 GB - Pink, iPhone 16 Plus 256 GB - Ultramarine, iPhone 16 Plus 256 GB - Teal",,
Iphone 17pro,"iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold, iPhone Air 256 GB - Sky Blue",,
One Plus 15 Mobile,"OnePlus 15 5G 512 GB Storage Sand Storm (16 GB RAM), OnePlus 15 5G 256 GB Storage Infinite Black (12 GB RAM), OnePlus 15 5G 256 GB Storage Ultra Violet (12 GB RAM), OnePlus 15 5G 512 GB Storage Infinite Black (16 GB RAM), OnePlus 15 5G 256 GB Storage Sand Storm (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Pitch Black (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Lunar Pearl (8 GB RAM)",,
oneplus 15 mobile,"OnePlus 15 5G 512 GB Storage Sand Storm (16 GB RAM), OnePlus 15 5G 256 GB Storage Infinite Black (12 GB RAM), OnePlus 15 5G 256 GB Storage Ultra Violet (12 GB RAM), OnePlus 15 5G 512 GB Storage Infinite Black (16 GB RAM), OnePlus 15 5G 256 GB Storage Sand Storm (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Pitch Black (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Lunar Pearl (8 GB RAM)",,
iphone 13,"iPhone 13 128 GB - Midnight, iPhone 13 128 GB - Starlight, iPhone 13 128 GB - Pink, iPhone 13 128 GB - PRODUCT RED, iPhone 13 128 GB - Blue, iPhone 13 256 GB - Midnight, iPhone 13 256 GB - Starlight, iPhone 13 256 GB - Pink, iPhone 13 256 GB - PRODUCT RED, iPhone 13 256 GB - Blue",,
OPPO Reno 14,"OPPO Reno 14 Pro 512 GB Storage GB Pearl White (12 GB RAM), OPPO Reno 14 Pro 512 GB Storage Titanium Grey (12 GB RAM), OPPO Reno 14 Pro 256 GB Storage GB Pearl White (12 GB RAM), OPPO Reno 14 Pro 256 GB Storage Titanium Grey (12 GB RAM), OPPO Reno 14 512 GB Storage Pearl White (12 GB RAM), OPPO Reno 14 512 GB Storage Forest Green (12 GB RAM), OPPO Reno 14 256 GB Storage Pearl White (12 GB RAM), OPPO Reno 14 256 GB Storage Forest Green (12 GB RAM), OPPO Reno 14 256 GB Storage Pearl White (8 GB RAM), OPPO Reno 14 256 GB Storage Forest Green (8 GB RAM)",,
Vivo Y51,"vivo Y51 Pro 5G 128 GB Storage Festive Red (8 GB RAM), vivo Y51 Pro 5G 128 GB Storage Noble Gold (8 GB RAM), vivo Y51 Pro 5G 256 GB Storage Festive Red (8 GB RAM), vivo Y51 Pro 5G 256 GB Storage Noble Gold (8 GB RAM), vivo Y51 128GB Storage Titanium Sapphire (8GB RAM), vivo Y51 128 GB Storage Crystal Symphony (8 GB RAM), vivo Y21 5G 128 GB Storage Midnight Blue (6 GB RAM), vivo Y21 5G 128 GB Storage Champagne Gold (6 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM)",,
Vivo Mobils,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM)",,
Apple Iphone 17 Smartphones,"iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender, iPhone 17 512 GB - Sage",,
vivo mobile,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM)",,
